id,biolovision_english,biolovision_latin,ebird_species_code
533,Snow Bunting,Plectrophenax nivalis,snobun
534,Cockatiel,Nymphicus hollandicus,cockat
535,Pale-headed Rosella,Platycercus adscitus,pahros1
536,Budgerigar,Melopsittacus undulatus,budger
537,Rose-ringed Parakeet,Psittacula krameri,rorpar
538,Plum-headed Parakeet,Psittacula cyanocephala,plhpar1
539,Turquoise-fronted Amazon,Amazona aestiva,bufpar
542,Red-whiskered Bulbul,Pycnonotus jocosus,rewbul
543,Red-billed Leiothrix,Leiothrix lutea,reblei
544,Village Weaver,Ploceus cucullatus,vilwea1
545,Black-headed Weaver,Ploceus melanocephalus,blhwea1
546,Yellow-crowned Bishop,Euplectes afer,yecbis
547,Euplecte franciscain,Euplectes franciscanus,orabis1
548,Black-rumped Waxbill,Estrilda troglodytes,bkrwax
549,Red Avadavat,Amandava amandava,redava
550,Zebra Finch,Taeniopygia guttata,zebfin2
552,Black-headed Munia,Lonchura malacca,trimun
553,Pin-tailed Whydah,Vidua macroura,pitwhy
555,Northern Cardinal,Cardinalis cardinalis,norcar
556,Baltimore Oriole,Icterus galbula,balori
558,Purple Starling,Lamprotornis purpureus,pugsta1
561,Bruant chingolo,Zonotrichia capensis,rucspa1
562,Rosy-faced Lovebird,Agapornis roseicollis,peflov
563,Monk Parakeet,Myiopsitta monachus,monpar
565,Silver-eared Leiothrix,Leiothrix argentauris,siemes1
566,Senegal Parrot,Poicephalus senegalus,senpar
567,Turkey Vulture,Cathartes aura,turvul
568,Superb Starling,Lamprotornis superbus,supsta1
569,Yellow-headed Amazon,Amazona oratrix,yehpar
570,Speckled Pigeon,Columba guinea,spepig1
571,Masked Laughingthrush,Garrulax perspicillatus,maslau1
573,Laughing Dove,Streptopelia senegalensis,laudov1
574,Ring Ouzel (T.t.alpestris),Turdus torquatus alpestris,rinouz3
576,Trumpeter Finch,Bucanetes githagineus,trufin2
577,Java Sparrow,Lonchura oryzivora,javspa
578,Common Waxbill,Estrilda astrild,comwax
579,Green Jay,Cyanocorax yncas,grnjay
580,Laughing Gull,Larus atricilla,laugul
582,Grey Parrot,Psittacus erithacus,grepar
585,Eastern Rosella,Platycercus eximius,easros1
586,Hamerkop,Scopus umbretta,hamerk1
587,Isabelline Shrike,Lanius isabellinus,isashr1
588,Sacred Ibis,Threskiornis aethiopicus,sacibi2
589,Macqueen's Bustard,Chlamydotis macqueenii,macbus1
590,Pacific Golden Plover,Pluvialis fulva,pagplo
591,Franklin's Gull,Larus pipixcan,fragul
1000,Black Wheatear,Oenanthe leucura,blawhe1
1001,Common Myna,Acridotheres tristis,commyn
1002,Fischer's Lovebird,Agapornis fischeri,fislov1
1003,Yellow-collared Lovebird,Agapornis personatus,yeclov
1005,American Black Duck,Anas rubripes,ambduc
1006,Greenland White-fronted Goose (ssp. flavirostris),Anser albifrons flavirostris,gwfgoo1
1007,Blyth's Pipit,Anthus godlewskii,blypip1
1008,Pechora Pipit,Anthus gustavi,pecpip
1009,Little Swift,Apus affinis,litswi1
1010,Spanish Imperial Eagle,Aquila adalberti,spaeag1
1011,Steppe Eagle,Aquila nipalensis,steeag1
1012,Great Blue Heron,Ardea herodias,grbher3
1013,Black-headed Heron,Ardea melanocephala,blhher1
1014,Canvasback,Aythya valisineria,canvas
1015,Upland Sandpiper,Bartramia longicauda,uplsan
1016,Pale-bellied Brant Goose,Branta bernicla hrota,atlbra1
1017,Black Brant Goose,Branta bernicla nigricans,blkbra1
1018,Snowy Owl,Bubo scandiacus,snoowl1
1019,Bulwer's Petrel,Bulweria bulwerii,bulpet
1020,Steppe Buzzard,Buteo buteo vulpinus,combuz5
1021,Green Heron,Butorides virescens,grnher
1022,Sharp-tailed Sandpiper,Calidris acuminata,shtsan
1023,Stilt Sandpiper,Calidris himantopus,stisan
1024,Western Sandpiper,Calidris mauri,wessan
1025,Least Sandpiper,Calidris minutilla,leasan
1026,Semipalmated Sandpiper,Calidris pusilla,semsan
1027,Red-necked Stint,Calidris ruficollis,rensti
1028,California Quail,Callipepla californica,calqua
1029,Red-necked Nightjar,Caprimulgus ruficollis,rennig1
1030,Pallas's Rosefinch,Carpodacus roseus,palros2
1031,Grey-cheeked Thrush,Catharus minimus,gycthr
1032,Swainson's Thrush,Catharus ustulatus,swathr
1033,Willet,Tringa semipalmata,willet1
1034,Martinet ramoneur,Chaetura pelagica,chiswi
1035,Caspian Plover,Charadrius asiaticus,casplo1
1036,Greater Sand Plover,Charadrius leschenaultii,grsplo
1037,Mongolian Plover,Charadrius mongolus,lesplo
1038,Kittlitz's Plover,Charadrius pecuarius,kitplo1
1039,Dupont's Lark,Chersophilus duponti,duplar1
1040,Common Nighthawk,Chordeiles minor,comnig
1041,Yellow-billed Cuckoo,Coccyzus americanus,yebcuc
1042,Black-billed Cuckoo,Coccyzus erythrophtalmus,bkbcuc
1043,Northern Bobwhite,Colinus virginianus,norbob
1044,Daurian Jackdaw,Corvus dauuricus,daujac1
1045,House Crow,Corvus splendens,houcro1
1047,Blackpoll Warbler,Setophaga striata,bkpwar
1049,Bobolink,Dolichonyx oryzivorus,boboli
1050,Cretzschmar's Bunting,Emberiza caesia,crebun2
1051,Yellow-throated Bunting,Emberiza elegans,yetbun1
1052,Chestnut Bunting,Emberiza rutila,chebun1
1053,White-throated Munia,Euodice malabarica,indsil
1055,Semicollared Flycatcher,Ficedula semitorquata,semfly1
1056,Magnificent Frigatebird,Fregata magnificens,magfri
1057,Red-knobbed Coot,Fulica cristata,rekcoo1
1058,Thekla Lark,Galerida theklae,thelar1
1059,Northern Bald Ibis,Geronticus eremita,waldra1
1060,Western Olivaceous Warbler,Iduna opaca,weowar1
1061,Sykes's Warbler,Iduna rama,sykwar2
1062,Cliff Swallow,Petrochelidon pyrrhonota,cliswa
1065,Brown Shrike,Lanius cristatus,brnshr
1066,Masked Shrike,Lanius nubicus,masshr1
1067,Kelp Gull,Larus dominicanus,kelgul
1068,Lesser Black-backed Gull (L.f.fuscus),Larus fuscus fuscus,lbbgul1
1069,Kumlien's Gull,Larus glaucoides kumlieni,kumgul1
1070,Bonaparte's Gull,Larus philadelphia,bongul
1071,American Herring Gull,Larus smithsonianus,amhgul1
1072,Marabou Stork,Leptoptilos crumenifer,marsto1
1073,Short-billed Dowitcher,Limnodromus griseus,shbdow
1074,Long-billed Dowitcher,Limnodromus scolopaceus,lobdow
1075,Pallas's Grasshopper-Warbler,Locustella certhiola,
1077,Lanceolated Warbler,Locustella lanceolata,lanwar
1078,Siberian Rubythroat,Luscinia calliope,sibrub
1079,Black Scoter,Melanitta americana,blksco2
1080,White-winged scoter,Melanitta deglandi,whwsco2
1081,Surf Scoter,Melanitta perspicillata,sursco
1082,Wild Turkey,Meleagris gallopavo,wiltur
1083,Blue-cheeked Bee-eater,Merops persicus,bcbeat1
1084,Wilson's Storm-Petrel,Oceanites oceanicus,wispet
1085,Swinhoe's Storm Petrel,Oceanodroma monorhis,
1086,Namaqua Dove,Oena capensis,namdov1
1087,White-crowned Wheatear,Oenanthe leucopyga,whtwhe1
1088,Northern Parula,Setophaga americana,norpar
1089,Spanish Sparrow,Passer hispaniolensis,spaspa1
1090,Sudan Golden-Sparrow,Passer luteus,sugspa1
1091,Double-crested Cormorant,Phalacrocorax auritus,doccor
1092,Wilson's Phalarope,Phalaropus tricolor,wilpha
1093,Rose-breasted Grosbeak,Pheucticus ludovicianus,robgro
1094,Lesser Flamingo,Phoenicopterus minor,lesfla1
1095,Moussier's Redstart,Phoenicurus moussieri,moured1
1096,Hume's Leaf Warbler,Phylloscopus humei,humwar1
1098,Eastern Bonelli's Warbler,Phylloscopus orientalis,eabwar1
1099,Pallas?s Leaf Warbler,Phylloscopus proregulus,palwar5
1100,Radde's Warbler,Phylloscopus schwarzi,radwar1
1101,Scarlet Tanager,Piranga olivacea,scatan
1102,American Golden Plover,Pluvialis dominica,amgplo
1103,Egyptian Plover,Pluvianus aegyptius,egyplo1
1104,Pied-billed Grebe,Podilymbus podiceps,pibgre
1105,Sora,Porzana carolina,sora
1106,Black-throated Accentor,Prunella atrogularis,bltacc1
1107,Balearic Shearwater,Puffinus mauretanicus,balshe1
1108,Common Bulbul,Pycnonotus barbatus,combul2
1109,Red-vented Bulbul,Pycnonotus cafer,revbul
1111,Siberian Stonechat,Saxicola maurus,sibsto1
1112,Northern Waterthrush,Parkesia noveboracensis,norwat
1113,Corsican Citril Finch,Serinus corsicanus,
1114,American Redstart,Setophaga ruticilla,amered
1115,Corsican Nuthatch,Sitta whiteheadi,cornut1
1116,Bridled Tern,Onychoprion anaethetus,briter1
1117,Elegant Tern,Sterna elegans,eleter1
1118,Forster's Tern,Sterna forsteri,forter
1120,Royal Tern,Sterna maxima,royter1
1121,,Streptopelia orientalis,ortdov
1122,African Collared Dove,Streptopelia risoria,afcdov1
1123,Red-billed Starling,Sturnus sericeus,rebsta1
1124,Spotless Starling,Sturnus unicolor,sposta1
1125,Rueppell's Warbler,Sylvia ruppeli,
1126,Marmora's Warbler,Sylvia sarda,marwar1
1127,Reeves's Pheasant,Syrmaticus reevesii,reephe1
1128,Black-browed Albatross,Thalassarche melanophris,bkbalb
1129,Lappet-faced Vulture,Torgos tracheliotus,lafvul1
1130,Lesser Yellowlegs,Tringa flavipes,lesyel
1131,Greater Yellowlegs,Tringa melanoleuca,greyel
1132,Solitary Sandpiper,Tringa solitaria,solsan
1133,Dusky Thrush,Turdus eunomus,dusthr2
1134,Red-throated Thrush,Turdus ruficollis,retthr1
1135,Thick-billed Murre,Uria lomvia,thbmur
1136,Paruline obscure,Leiothlypis peregrina,tenwar
1137,Red-eyed Vireo,Vireo olivaceus,reevir1
1139,White-crowned Sparrow,Zonotrichia leucophrys,whcspa
1141,Amur Falcon,Falco amurensis,amufal1
1142,Barbary Falcon,Falco pelegrinoides,
1143,Rueppell's Griffon,Gyps rueppellii,ruegri1
1144,Masked Booby,Sula dactylatra,masboo
1145,unidentified Diver,Gavia sp.,loon
1146,"Grebe, unidentified",Podicipedidae sp.,grebe1
1147,Héron strié,Butorides striata,strher
1148,Abdim's Stork,Ciconia abdimii,abdsto1
1149,"Dabbling Duck, unidentified",Anatidae sp. (superficiem),dabduc1
1150,"Diving Duck, unidentified",Aythya sp. (emersus),aythya1
1151,unidentified Merganser / Goosander,Mergus sp.,mergan1
1152,"Duck, unidentified",Anatidae sp.,waterf1
1155,Southern Crested Caracara,Caracara plancus,y00678
1156,Japanese Quail,Coturnix japonica,japqua
1157,"Wader, unidentified",Charadriiformes sp. (magna),shoreb1
1158,small unidentified wader,Charadriiformes sp. (pusilli),shoreb1
1159,,Larus argentatus / cachinnans / michahellis,y00386
1160,European Herring Gull (L.a.argentatus),Larus argentatus argentatus,
1161,European Herring Gull (L.a.argenteus),Larus argentatus argenteus,
1162,Lesser Black-backed Gull (ssp. graellsii),Larus fuscus graellsii,lbbgul3
1163,unidentified Gull,Larus sp.,larus1
1164,unidentified small Gull,Larus sp.(pusilli),
1165,Rock Dove,Columba livia,rocpig
1167,Ural Owl,Strix uralensis,uraowl1
1168,Great Grey Owl,Strix nebulosa,grgowl
1169,Syrian Woodpecker,Dendrocopos syriacus,syrwoo1
1171,Western Jackdaw (C.m.spermologus),Corvus monedula spermologus,eurjac
1172,Eastern Jackdaw (ssp. soemmerringii),Corvus monedula soemmerringii,
1173,Spotted Nutcracker (N.c.caryocadactes),Nucifraga caryocatactes caryocatactes,
1174,Spotted Nutcracker (ssp. macrorhynchos),Nucifraga caryocatactes macrorhynchos,
1175,Western Rock Nuthatch,Sitta neumayer,rocnut1
1178,Ring Ouzel (ssp. torquatus),Turdus torquatus torquatus,rinouz2
1179,Eurasian Reed or Marsh Warbler,Acrocephalus palustris / scirpaceus,y01046
1180,Common Chiffchaff (P.c.collybita),Phylloscopus collybita collybita,grgshr2
1182,White Wagtail (M.a.alba),Motacilla alba alba,whiwag1
1183,Great Grey Shrike (L.e.excubitor),Lanius excubitor excubitor,grgshr2
1184,Long-tailed Shrike,Lanius schach,lotshr1
1185,Chestnut-tailed Starling,Sturnus malabaricus,chtsta2
1186,Passer domesticus domesticus,Passer domesticus domesticus,
1187,Scarlet Ibis,Eudocimus ruber,scaibi
1188,Northern Goshawk / Eurasian Sparrowhawk,Accipiter gentilis / nisus,y00392
1189,Montagu's / Hen Harrier,Circus pygargus / cyaneus,y00840
1190,Buzzard/Honey Buzzard,Pernis apivorus / Buteo buteo,
1191,unidentified Stork,Ciconia sp.,ciconi1
1192,"Falcon, unidentified",Falco sp.,falcon
1193,unidentified Heron,Ardeidae sp.,heron1
1194,"Gull, unidentified",Laridae sp.,y00728
1195,unidentified Pigeon,Columba sp.,columb1
1196,unidentified raptor,Falconiformes sp.,diurap1
1197,"Eagle, unidentified",Aquila sp.,aquila1
1198,"Buzzard, unidentified",Buteo sp.,buteo
1199,"Crow/Raven, unidentified",Corvidae sp.,corvid2
1200,"Swallow / Martin, unidentified",Hirundinidae sp.,swallo
1201,"Kite, unidentified",Milvus sp.,y00611
1202,unidentified Auk,Alcidae sp.,alcid
1203,unidentified Passerine,Passeriformes sp.,passer1
1204,unidentified Thrush,Turdus sp.,turdus1
1205,Alexandrine Parakeet,Psittacula eupatria,alepar2
1207,Lark,Alaudidae sp.,lark1
1209,Buff-bellied Pipit,Anthus rubescens,amepip
1210,"Pipit, unidentified",Anthus sp.,pipit1
1212,"Swift, unidentified",Apus sp.,apus1
1214,"Shearwater, unidentified",Puffinus / Calonectris sp.,shearw
1215,"Sandpiper / Stint, unidentified",Calidris / Limicola / Tryngites sp.,calidr1
1216,"Charadrius-Plover, unidentified",Charadrius sp.,smaplo1
1221,Spoonbill Sandpiper,Eurynorhynchus pygmeus,
1223,"Finch, unidentified",Fringillidae sp.,finch1
1224,unidentified Snipe,Gallinago sp.,snipe2
1226,"Hippolais-/Iduna-Warbler, unidentified",Hippolais / Iduna sp.,y00908
1228,Woodchat Shrike (L.s.badius),Lanius senator badius,wooshr3
1233,unidentified Warbler (Locustella),Locustella sp.,locust6
1234,Bluethroat (L.s.namnetum),Luscinia svecica namnetum,blueth2
1236,White Wagtail (M.a.subpersonata),Motacilla alba subpersonata,whiwag4
1239,unidentified Wagtail,Motacilla sp.,wagtai1
1240,Owl sp.,Strigiformes sp.,owl1
1241,Curlew,Numenius sp.,curlew1
1242,"Tit, unidentified",Paridae sp.,parid1
1244,"Redstart, unidentified",Phoenicurus sp.,redsta1
1246,"Phylloscopus-Warbler, unidentified",Phylloscopus sp.,phyllo1
1247,Common Chaffinch / Brambling,Fringilla coelebs / montifringilla,y01056
1249,unidentified Plover (Pluvialis),Pluvialis sp.,y00494
1250,"Rail / Crake, unidentified",Porzana sp.,
1251,Bullfinch (P.p.europaea),Pyrrhula pyrrhula europaea,
1252,unidentified Rail,Rallidae sp.,
1254,"Crest, unidentified",Regulus sp.,
1259,Common / Arctic Tern,Sterna hirundo / paradisaea,y00317
1260,"Sternidae, unidentified",Sternidae sp.,tern1
1261,unidentified Warbler,Sylvia sp.,sylvia1
1262,"Tringa-Sandpiper, unidentified",Tringa sp.,tringa1
1265,Tickell's Thrush,Turdus unicolor,ticthr1
1266,Razorbill / Common Murre,Uria aalge / Alca torda,laralc1
1267,unidentified Bunting,Emberiza sp.,emberi1
1268,Eurasian Sparrowhawk/Northern Goshawk/Falcon,Accipiter sp. / Falco sp.,
1269,Common / Lesser Kestrel,Falco naumanni / tinnunculus,
1270,Carrion / Hooded Crow,Corvus corone / cornix,y00613
1271,American Coot,Fulica americana,y00475
1272,Eclectus Parrot,Eclectus roratus,eclpar
1274,Grey-headed Lovebird,Agapornis canus,gyhlov1
1275,Red-headed Lovebird,Agapornis pullarius,rehlov1
1277,Zebra Waxbill,Amandava subflava,zebwax2
1278,Amazone aourou,Amazona amazonica,orwpar
1279,Yellow-crowned Parrot,Amazona ochrocephala,ywcpar
1280,Eurasian Rock Pipit,Anthus petrosus,rocpip1
1281,Blue-and-yellow Macaw,Ara ararauna,baymac
1282,Blue-crowned Parakeet,Psittacara acuticaudatus,bucpar
1283,Conure couronnée,Eupsittula aurea,pefpar1
1284,Red-masked Parakeet,Aratinga erythrogenys,rempar
1285,Green Parakeet,Aratinga holochlora,grnpar
1286,Mitred Parakeet,Aratinga mitrata,mitpar
1288,American Bittern,Botaurus lentiginosus,amebit
1289,Sulphur-crested Cockatoo,Cacatua galerita,succoc
1290,Yellow-crested Cockatoo,Cacatua sulphurea,yeccoc1
1291,Great Knot,Calidris tenuirostris,grekno
1293,Burrowing Parakeet,Cyanoliseus patagonus,burpar
1294,Emu,Dromaius novaehollandiae,emu1
1297,Orange-cheeked Waxbill,Estrilda melpoda,orcwax
1299,Black-winged Bishop,Euplectes hordeaceus,blwbis1
1303,Red Bishop,Euplectes orix,redbis
1306,Diamond Dove,Geopelia cuneata,diadov1
1307,Hill Myna,Gracula religiosa,hilmyn
1308,Red-billed Firefinch,Lagonosticta senegala,rebfir2
1310,Woodchat Shrike (L.s.senator),Lanius senator senator,wooshr2
1315,White-rumped Munia,Lonchura striata,whrmun
1316,Siberian Blue Robin,Luscinia cyane,sibrob
1317,Nanday Parakeet,Aratinga nenday,bkhpar
1319,Harris's Hawk,Parabuteo unicinctus,hrshaw
1320,American Flamingo,Phoenicopterus ruber,grefla2
1321,Iberian Chiffchaff,Phylloscopus ibericus,ibechi2
1322,not to be used,not to be used,
1323,Iberian Woodpecker,Picus sharpei,grnwoo3
1324,Crimson Rosella,Platycercus elegans,criros2
1330,Red-rumped Parrot,Psephotus haematonotus,rerpar1
1331,Red-breasted Parakeet,Psittacula alexandri,rebpar4
1335,Red-billed Quelea,Quelea quelea,rebque1
1336,Greater Rhea,Rhea americana,grerhe1
1337,Knob-billed Duck,Sarkidiornis melanotos,comduc2
1340,Saffron Finch,Sicalis flaveola,saffin
1341,White-shouldered Starling,Sturnia sinensis,whssta2
1342,Eastern Subalpine Warbler (ssp. cantillans),Sylvia cantillans cantillans,easwar1
1343,Moltoni Warbler,Sylvia subalpina,subwar8
1345,Raja Shelduck,Tadorna radjah,radshe1
1346,Double-barred Finch,Taeniopygia bichenovii,dobfin1
1347,Coconut Lorikeet,Trichoglossus haematodus,railor4
1348,Red-cheeked Cordonbleu,Uraeginthus bengalus,reccor
1351,Western Yellow Wagtail (M.f.flava x iberiae),Motacilla flava flava x iberiae,
1352,Lady Amherst's Pheasant,Chrysolophus amherstiae,laaphe1
1353,Inca Tern,Larosterna inca,incter1
1355,Spotted Flycatcher (M. s. tyrrhenica),Muscicapa striata tyrrhenica,spofly3
1356,Two-barred Warbler,Phylloscopus plumbeitarsus,grewar2
1357,Lesser Black-backed Gull (ssp. intermedius),Larus fuscus intermedius,lbbgul2
1358,American Woodcock,Scolopax minor,amewoo
1360,Cantabric Yellow-legged Gull,Larus michahellis lusitanius,
1361,Larus michahellis michahellis,Larus michahellis michahellis,yelgul3
1362,Black-faced Bunting,Emberiza spodocephala,bkfbun1
1363,Eastern Subalpine Warbler (ssp. albistriata),Sylvia cantillans albistriata,
1364,Common Pochard x Ferruginous Duck,Aythya ferina x nyroca,x00764
1365,"Storm-Petrel, unidentified",Hydrobatidae sp.,
1366,Willow Warbler (ssp. acredula),Phylloscopus trochilus acredula,
1367,Red-billed Teal,Anas erythrorhyncha,rebduc1
1368,Graugans (A.a.albifrons),Anser albifrons albifrons,gwfgoo4
1369,Graugans (A.a.anser),Anser anser anser,gragoo2
1370,Graugans (A.a.rubrirostris),Anser anser rubrirostris,gragoo3
1371,Dark-bellied Brant Goose,Branta bernicla bernicla,dabbra1
1373,Southern Giant Petrel,Macronectes giganteus,angpet1
1374,Barolo Shearwater,Puffinus baroli,litshe1
1375,Brown Booby,Sula leucogaster,brnboo
1378,European Shag (P.a.aristotelis),Phalacrocorax aristotelis aristotelis,
1379,Schrenck's Bittern,Ixobrychus eurhythmus,schbit1
1381,Western Reef Heron (E.g.gularis),Egretta gularis gularis,wesreh1
1383,Intermediate Egret,Egretta intermedia,
1384,Great Egret (C.a.modestus),Casmerodius albus modestus (Egretta a. modesta),
1388,Levant Sparrowhawk,Accipiter brevipes,levspa1
1390,Tawny Eagle,Aquila rapax,taweag1
1392,Sooty Falcon,Falco concolor,soofal1
1393,Peregrine Falcon (ssp. calidus),Falco peregrinus calidus,
1394,Peregrine Falcon (F.p.brookei),Falco peregrinus brookei,perfal3
1395,Common Buttonquail,Turnix sylvaticus,smabut2
1399,Grey-headed Swamphen,Porphyrio porphyrio poliocephalus,
1400,Purple Swamphen (P.p.caspius),Porphyrio porphyrio caspius,
1402,East Mediterranean Eurasian Stone-curlew,Burhinus oedicnemus sahare,
1407,Pintail Snipe,Gallinago stenura,pitsni
1408,Black-tailed Godwit (ssp. islandica),Limosa limosa islandica,bktgod1
1410,Whimbrel (N.p.hudsonicus),Numenius phaeopus hudsonicus,whimbr3
1411,Eurasian Curlew (N.a.orientalis),Numenius arquata orientalis,
1413,Common Gull (L.c.heinei),Larus canus heinei,mewgul3
1416,Heuglin's Gull,Larus fuscus heuglini,lbbgul4
1417,Sooty Tern,Onychoprion fuscatus,sooter1
1419,Sterne de Cayenne,Thalasseus (sandvicensis) eurygnathus,
1420,Sterne de Cabot,Thalasseus (sandvicensis) acuflavidus,
1424,Barn Owl (T.a.alba),Tyto alba alba,
1425,Barn Owl (T.a.guttata),Tyto alba guttata,
1431,White-backed Woodpecker (D.l.leucotos),Dendrocopos leucotos leucotos,
1432,White-backed Woodpecker (D.l.lilfordi),Dendrocopos leucotos lilfordi,whbwoo3
1433,Bar-tailed Lark,Ammomanes cinctura,batlar1
1435,Bimaculated Lark,Melanocorypha bimaculata,bimlar1
1436,Buff-bellied Pipit (A.r.rubescens),Anthus rubescens rubescens,
1439,Western Yellow Wagtail (M.f.pigmea),Motacilla flava pygmaea,weywag20
